               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  87,              1.4839,              1.0857,              1.5705,             0.58777,              0.3638,             0.39725,             0.25258,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,               1.497,              1.0892,              1.5724,             0.56607,              0.3813,             0.40686,             0.26052,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.4979,              1.0978,              1.5851,             0.60078,              0.3387,              0.3853,             0.24429,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.4816,                1.08,              1.5609,             0.58135,               0.378,             0.41447,             0.26475,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.4732,              1.0873,              1.5738,             0.55987,             0.38293,             0.41589,             0.26529,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.4729,              1.0783,               1.548,             0.56087,             0.36216,             0.40617,             0.26137,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.4835,              1.0783,              1.5635,             0.60215,             0.35789,             0.41114,             0.26518,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.4795,              1.0724,              1.5568,             0.55233,             0.39725,             0.41413,             0.26997,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.4903,              1.0851,              1.5622,             0.58774,             0.38401,             0.42116,             0.27093,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.4754,              1.0582,              1.5712,              0.5483,             0.39468,             0.42153,             0.27091,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.4814,              1.0783,              1.5732,             0.56338,             0.39252,             0.42147,             0.27186,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.4726,               1.072,              1.5494,               0.551,             0.41024,             0.42508,             0.27407,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.4861,              1.0794,              1.5614,             0.55696,             0.39994,              0.4264,             0.27726,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
